frame,id,type,x1,y1,x2,y2
0,1,player,391.42767333984375,327.958984375,471.01605224609375,507.7808837890625
0,2,player,983.9697265625,299.50054931640625,1090.443359375,504.90325927734375
0,3,player,937.0360107421875,255.944091796875,997.1268310546875,430.954833984375
0,4,player,640.974853515625,278.8514404296875,701.1448974609375,470.0531005859375
0,5,player,1038.234375,230.6155242919922,1094.099609375,391.75030517578125
0,6,player,1083.87744140625,199.04981994628906,1167.354736328125,369.334228515625
0,7,player,653.7388916015625,191.6436767578125,719.8232421875,343.171875
0,8,player,196.76693725585938,412.16009521484375,293.7632751464844,618.9398803710938
0,9,player,701.16259765625,144.20596313476562,760.22314453125,277.5282897949219
0,10,player,1072.7830810546875,270.30352783203125,1170.3812255859375,415.17730712890625
1,1,player,388.05059814453125,328.05816650390625,470.82049560546875,507.75299072265625
1,2,player,982.23779296875,298.1756591796875,1090.565673828125,502.0211181640625
1,3,player,937.079345703125,260.29949951171875,993.466064453125,431.4691162109375
1,4,player,640.7781982421875,278.90435791015625,701.8817138671875,472.90069580078125
1,8,player,197.01666259765625,411.3563232421875,294.5489196777344,620.307373046875
1,9,player,702.443359375,143.59127807617188,764.761474609375,277.911376953125
1,7,player,654.7601318359375,191.69561767578125,720.2286376953125,343.77752685546875
1,10,player,1081.8792724609375,270.1314697265625,1170.7752685546875,420.2371826171875
1,6,player,1084.867919921875,198.07371520996094,1160.283447265625,357.941650390625
1,5,player,1036.653076171875,230.32379150390625,1119.2314453125,387.75250244140625
2,1,player,386.2713623046875,328.08148193359375,469.68408203125,507.64019775390625
2,2,player,980.21875,296.70947265625,1085.317626953125,502.87738037109375
2,3,player,937.86474609375,259.91815185546875,992.669921875,431.27740478515625
2,8,player,196.044921875,411.1671142578125,295.55572509765625,619.8470458984375
2,4,player,640.7637939453125,279.19989013671875,701.7911376953125,471.99700927734375
2,9,player,702.929931640625,142.33938598632812,767.289306640625,279.1629638671875
2,6,player,1086.596435546875,198.2733917236328,1161.85205078125,355.18182373046875
2,7,player,652.5186767578125,190.8079833984375,721.186767578125,343.68585205078125
2,10,player,1097.403076171875,272.11553955078125,1170.334228515625,425.27923583984375
2,5,player,1035.4755859375,229.9696807861328,1116.60205078125,375.84381103515625
3,1,player,384.51123046875,328.1083984375,469.0150146484375,508.100830078125
3,3,player,938.0167236328125,258.56158447265625,996.1231689453125,430.75677490234375
3,2,player,980.2904052734375,295.90380859375,1082.2513427734375,500.9017333984375
3,6,player,1086.928466796875,196.91085815429688,1161.574462890625,361.7070617675781
3,4,player,640.8260498046875,279.22705078125,700.5074462890625,468.22314453125
3,8,player,195.12249755859375,411.0509033203125,296.7503967285156,620.2044677734375
3,9,player,701.8118896484375,143.559326171875,770.1007080078125,279.3736572265625
3,7,player,646.0943603515625,188.6102294921875,722.9774169921875,344.2567138671875
3,5,player,1034.3482666015625,229.61834716796875,1121.6195068359375,366.88934326171875
3,10,player,1100.058837890625,273.92864990234375,1171.954833984375,426.9581298828125
4,1,player,383.82305908203125,328.9322509765625,468.73931884765625,507.7532958984375
4,2,player,978.806884765625,293.7105712890625,1084.465087890625,501.56097412109375
4,3,player,938.800048828125,259.5950927734375,994.989501953125,431.7305908203125
4,4,player,640.8138427734375,279.46136474609375,700.30078125,467.70416259765625
4,6,player,1085.1650390625,197.2764129638672,1168.501953125,361.72601318359375
4,9,player,701.4520263671875,144.22940063476562,771.8294677734375,278.65826416015625
4,7,player,658.1589965820312,189.45602416992188,723.3121948242188,341.5650939941406
4,8,player,191.96841430664062,409.9487609863281,297.7950134277344,623.183837890625
4,5,player,1033.310546875,230.452880859375,1118.02392578125,372.23651123046875
4,10,player,1096.1224365234375,272.73944091796875,1173.2078857421875,425.5218505859375
5,1,player,382.498779296875,329.4931640625,467.969970703125,507.76220703125
5,2,player,978.77685546875,292.91485595703125,1085.62841796875,500.39837646484375
5,3,player,939.0885009765625,260.9117736816406,995.1258544921875,432.2815856933594
5,4,player,640.942138671875,279.62933349609375,700.1783447265625,467.14703369140625
5,8,player,187.7010498046875,410.08087158203125,299.0493469238281,624.8445434570312
5,7,player,651.0352783203125,190.07296752929688,723.6402587890625,341.4643859863281
5,6,player,1084.210205078125,198.12803649902344,1173.369873046875,359.60693359375
5,9,player,700.2794189453125,143.16107177734375,773.1817626953125,279.08935546875
5,10,player,1068.166748046875,267.1756286621094,1173.276611328125,427.5279846191406
5,5,player,1033.304931640625,230.62925720214844,1124.160888671875,374.3719482421875
6,1,player,381.7450256347656,329.56060791015625,466.2030944824219,507.84075927734375
6,2,player,978.3304443359375,289.92596435546875,1087.6961669921875,500.11273193359375
6,3,player,939.454833984375,260.97412109375,997.202392578125,434.147216796875
6,4,player,641.2313232421875,279.509521484375,699.9935302734375,466.5390625
6,8,player,191.94671630859375,409.3952941894531,300.8175964355469,627.484130859375
6,9,player,702.1392822265625,142.35226440429688,773.9200439453125,280.5989990234375
6,7,player,649.2561645507812,188.55401611328125,723.7078247070312,341.19744873046875
6,5,player,1032.9302978515625,231.7674560546875,1116.2872314453125,372.38812255859375
6,6,player,1085.39208984375,198.54196166992188,1176.76611328125,362.4272155761719
6,10,player,1072.501220703125,271.82586669921875,1171.723876953125,432.58013916015625
6,14,player,1120.5244140625,199.01609802246094,1177.0849609375,367.381103515625
7,1,player,381.7388916015625,330.24560546875,465.4969482421875,507.6944580078125
7,2,player,978.00927734375,291.0010986328125,1087.9111328125,499.7578125
7,9,player,705.310302734375,142.91241455078125,773.25537109375,280.1962890625
7,8,player,196.42770385742188,409.5886535644531,301.1234436035156,622.37451171875
7,3,player,938.7105712890625,263.2065734863281,997.6527099609375,438.1723937988281
7,4,player,641.2572021484375,279.1748046875,699.9666748046875,466.26513671875
7,7,player,652.129150390625,189.45541381835938,723.77001953125,340.4674987792969
7,5,player,1032.368896484375,232.183837890625,1119.95751953125,389.36627197265625
7,6,player,1084.7655029296875,198.8507080078125,1182.7210693359375,364.19287109375
7,10,player,1078.1666259765625,273.4718017578125,1166.8546142578125,432.1005859375
7,14,player,1117.5244140625,198.81202697753906,1182.889404296875,365.1705322265625
8,1,player,380.16278076171875,330.29852294921875,464.016845703125,507.58551025390625
8,2,player,977.2953491210938,289.24664306640625,1089.3984375,500.32879638671875
8,8,player,196.12896728515625,408.6696472167969,302.8991394042969,624.755126953125
8,9,player,702.7569580078125,141.79776000976562,772.8026123046875,280.5067443847656
8,6,player,1085.18505859375,198.42919921875,1183.22802734375,366.3807373046875
8,3,player,936.7620849609375,264.58099365234375,1001.2965087890625,439.306884765625
8,5,player,1033.530029296875,231.4226531982422,1117.661376953125,387.95208740234375
8,7,player,658.717529296875,189.70089721679688,724.1318359375,339.9359436035156
8,10,player,1084.0235595703125,272.787841796875,1171.5208740234375,433.281494140625
8,4,player,640.9903564453125,279.90594482421875,701.4227294921875,465.95001220703125
9,1,player,379.2978210449219,331.47344970703125,462.1406555175781,508.80682373046875
9,2,player,976.799560546875,290.1226806640625,1090.06298828125,500.94696044921875
9,8,player,196.66043090820312,408.5246276855469,303.5596923828125,622.05419921875
9,5,player,1033.5966796875,231.4026336669922,1114.25439453125,385.75030517578125
9,9,player,706.052734375,142.54214477539062,773.73779296875,281.17742919921875
9,3,player,936.4295654296875,266.81524658203125,1004.6722412109375,440.07940673828125
9,6,player,1102.6646728515625,197.83688354492188,1185.1529541015625,373.2223815917969
9,10,player,1090.711181640625,275.44866943359375,1169.645751953125,432.38104248046875
9,7,player,669.6400146484375,185.6463165283203,724.0059814453125,339.63702392578125
9,4,player,641.1865234375,280.3419189453125,699.14892578125,463.6309814453125
10,1,player,377.9632568359375,331.5067138671875,460.7928466796875,509.01318359375
